Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.0	-16.609640474436812
H2Av	wt	Adult	0.0	-16.609640474436812
H2Bubi	wt	Adult	0.0	1.587159943476028
H3	wt	Adult	0.0	-16.609640474436812
H3K18ac	wt	Adult	0.0	inf
H3K23ac	wt	Adult	0.0	-4.581161347475846
H3K27ac	wt	Adult	0.0	2.0080381804753005
H3K27me1	wt	Adult	0.0	inf
H3K27me2	wt	Adult	0.0	-10.895069794374455
H3K27me3	wt	Adult	0.0	1.0935417963191576
H3K36me1	wt	Adult	0.0	inf
H3K36me2	wt	Adult	0.0	-16.609640474436812
H3K36me3	wt	Adult	0.0	-16.609640474436812
H3K4me1	wt	Adult	0.0	inf
H3K4me2	wt	Adult	0.0	2.228728954327329
H3K4me3	wt	Adult	0.0	2.806426609929782
H3K79me1	wt	Adult	0.0	-4.411392792192319
H3K79me2	wt	Adult	0.0	1.5367882075078605
H3K79me3	wt	Adult	0.0	1.5542588689729884
H3K9ac	wt	Adult	0.0	1.5751705306053407
H3K9acS10P	wt	Adult	0.0	2.507753448051733
H3K9me1	wt	Adult	0.0	inf
H3K9me2	wt	Adult	0.0	-16.609640474436812
H3K9me3	wt	Adult	0.0	-16.609640474436812
H4K16ac	wt	Adult	0.0	3.6153303436359856
H4K20me1	wt	Adult	0.0	1.5612007539490882
H4K8ac	wt	Adult	0.0	inf
HP1a	wt	Adult	0.0	-16.609640474436812
HP1b	wt	Adult	0.0	2.797203798205063
HP1c	wt	Adult	0.0	3.0349278094102217
HP2	wt	Adult	0.0	2.941053755764557
JHDM1	wt	Adult	0.0	2.006816280580882
KDM4A	wt	Adult	0.0	2.385682439137808
LSD1	wt	Adult	0.0	inf
POF	wt	Adult	0.0	2.94955782732249
PolII	wt	Adult	0.0	2.354929357792333
RPD3	wt	Adult	0.0	2.7083201256497738
Su(var)3-7	wt	Adult	0.0	2.3832430728799725
dSFMBT	wt	Adult	0.0	2.7117380499524586
