Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.0	-16.609640474436812
CP190	wt	Embryo	0.0	-16.609640474436812
CTCF	wt	Embryo	0.0	-16.609640474436812
Chriz	wt	Embryo	0.0	-16.609640474436812
GAF	wt	Embryo	0.0	-16.609640474436812
H1	wt	Embryo	0.0	-16.609640474436812
H2Av	wt	Embryo	0.563243603568196	inf
H2Bubi	wt	Embryo	0.30596316624750364	inf
H3	wt	Embryo	0.0	-16.609640474436812
H3K18ac	wt	Embryo	0.0	-16.609640474436812
H3K23ac	wt	Embryo	0.0	-16.609640474436812
H3K27ac	wt	Embryo	0.0	-16.609640474436812
H3K27me2	wt	Embryo	0.0	-16.609640474436812
H3K27me3	wt	Embryo	0.0	-16.609640474436812
H3K36me1	wt	Embryo	0.0	-16.609640474436812
H3K36me2	wt	Embryo	0.7141914640581192	inf
H3K36me3	wt	Embryo	0.8022620614353183	inf
H3K4me1	wt	Embryo	0.0	-16.609640474436812
H3K4me3	wt	Embryo	0.0	-16.609640474436812
H3K79me1	wt	Embryo	0.1687033202489977	inf
H3K79me2	wt	Embryo	0.0	-16.609640474436812
H3K79me3	wt	Embryo	0.0	-16.609640474436812
H3K9acS10P	wt	Embryo	0.0	-16.609640474436812
H3K9me1	wt	Embryo	0.0	-16.609640474436812
H3K9me2	wt	Embryo	0.9280828608273044	inf
H3K9me3	wt	Embryo	0.9388779483174154	inf
H4	wt	Embryo	0.0	-16.609640474436812
H4K16ac	wt	Embryo	0.0	-16.609640474436812
H4K20me1	wt	Embryo	0.614318233782218	inf
HP1a	wt	Embryo	0.8769021937751145	inf
HP1b	wt	Embryo	0.6456656046046046	inf
HP1c	wt	Embryo	0.2852768999861112	inf
HP2	wt	Embryo	0.7546825883005337	inf
HP4	wt	Embryo	0.33545954252267235	inf
JHDM1	wt	Embryo	0.0	-16.609640474436812
LSD1	wt	Embryo	0.0	-16.609640474436812
MBD-R2	wt	Embryo	0.0	-16.609640474436812
MOF	wt	Embryo	0.0	-16.609640474436812
NURF301	wt	Embryo	0.0	-16.609640474436812
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.29275868478754435	inf
Pc	wt	Embryo	0.0	-16.609640474436812
PolII	wt	Embryo	0.0	-16.609640474436812
Psc	wt	Embryo	0.0	-16.609640474436812
RPD3	wt	Embryo	0.0	-16.609640474436812
Su(Hw)	wt	Embryo	0.0	-16.609640474436812
Su(var)3-7	wt	Embryo	0.0	-16.609640474436812
ZW5	wt	Embryo	0.0	-16.609640474436812
dMi-2	wt	Embryo	0.0	-16.609640474436812
dRING	wt	Embryo	0.0	-16.609640474436812
