Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.38428135328990237	1.037037761605423
ASH-1	wt	S2	enriched	0.27232628180290586	-7.446212893832624
BEAF-32	wt	S2	enriched	0.0	-16.609640474436812
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.0715045208101965	-16.609640474436812
CTCF	wt	S2	enriched	0.0	-16.609640474436812
Chriz	wt	S2	enriched	0.2072432844759032	-16.609640474436812
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	0.30488180564565104	0.6598915329965033
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.5621196430599917	-16.609640474436812
H2BK5ac	wt	S2	enriched	0.0	-0.749014179695058
H2Bubi	wt	S2	enriched	0.0	0.04825013814863739
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	0.4465296277868788	0.8391614516212844
H3K23ac	wt	S2	enriched	0.0	-16.609640474436812
H3K27ac	wt	S2	enriched	0.2546486261441417	0.46683490085429247
H3K27me1	wt	S2	enriched	0.4285823478749678	-16.609640474436812
H3K27me2	wt	S2	enriched	0.0	-16.609640474436812
H3K27me3	wt	S2	enriched	0.4278605802216262	-16.609640474436812
H3K36me1	wt	S2	enriched	0.9009757843891071	1.5873697919103056
H3K36me3	wt	S2	enriched	0.320777718112353	-16.609640474436812
H3K4me1	wt	S2	enriched	0.19639047696779652	0.03799741104035659
H3K4me2	wt	S2	enriched	0.16643723021117907	0.2956585495195858
H3K4me3	wt	S2	enriched	0.10591227785820004	-16.609640474436812
H3K79me1	wt	S2	enriched	0.05481208277696773	-0.25727131455711283
H3K79me2	wt	S2	enriched	0.19258361428108386	-8.093698353706518
H3K79me3	wt	S2	enriched	0.0	-16.609640474436812
H3K9ac	wt	S2	enriched	0.1009164701420304	0.16338038230516447
H3K9acS10P	wt	S2	enriched	0.0	-16.609640474436812
H3K9me1	wt	S2	enriched	0.13606738173409405	-12.260788320151748
H3K9me2	wt	S2	enriched	0.0	-8.281190027891231
H3K9me3	wt	S2	enriched	0.0	-16.609640474436812
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.2073072106658847	-16.609640474436812
H4K16ac	wt	S2	enriched	0.21226751713098846	-8.716646083798407
H4K20me1	wt	S2	enriched	0.0	-16.609640474436812
H4K5ac	wt	S2	enriched	0.203037334212975	0.7621446763326433
H4K8ac	wt	S2	enriched	0.18971370273645474	0.5577874722790322
H4acTetra	wt	S2	enriched	0.20371020205103713	0.7748481916848657
HP1a	wt	S2	enriched	0.0	-16.609640474436812
HP1b	wt	S2	enriched	0.40817617504029047	1.14219255112027
HP1c	wt	S2	enriched	0.4276767248125639	1.2265344963370552
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.1453607783964518	-8.00897574212063
JHDM1	wt	S2	enriched	0.0	-16.609640474436812
JIL-1	wt	S2	enriched	0.42898642576399126	-16.609640474436812
KDM4A	wt	S2	enriched	0.0	-16.609640474436812
LSD1	wt	S2	enriched	0.5017972496020874	1.0006877103983722
MBD-R2	wt	S2	enriched	0.07124853473673994	-11.074051590802915
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.0	-16.609640474436812
MOF	wt	S2	enriched	0.0	-16.609640474436812
MRG15	wt	S2	enriched	0.21444951454442968	-16.609640474436812
MSL-1	wt	S2	enriched	0.0	-16.609640474436812
NURF301	wt	S2	enriched	0.0	-5.548477635952099
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.3517375942519555	0.8875330690720834
Pc	wt	S2	enriched	0.0	-16.609640474436812
Pho	wt	S2	enriched	0.6919480787573381	2.290132414366085
PolII	wt	S2	enriched	0.1589303244728066	-16.609640474436812
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.0	-16.609640474436812
Replication-Origin	wt	S2	enriched	0.0	-0.03947346267000648
Rhino	wt	S2	enriched	0.0	-16.609640474436812
SPT16	wt	S2	enriched	0.0	-16.609640474436812
Smc3	wt	S2	enriched	0.306741599656616	-7.310067240250796
Su(Hw)	wt	S2	enriched	0.16074820672495227	-16.609640474436812
Su(var)3-7	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-9	wt	S2	enriched	0.0	-16.609640474436812
WDS	wt	S2	enriched	0.0	-16.609640474436812
ZW5	wt	S2	enriched	0.0	-16.609640474436812
dMi-2	wt	S2	enriched	0.23246257180030225	-10.579325613363155
dRING	wt	S2	enriched	0.0	-16.609640474436812
dSFMBT	wt	S2	enriched	0.0	-16.609640474436812
dmTopo-II	wt	S2	enriched	0.0	-16.609640474436812
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
