Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.0	-16.609640474436812
ASH-1	wt	S2	enriched	0.0	-16.609640474436812
BEAF-32	wt	S2	enriched	0.0	-11.215942471989024
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.0	-11.340044391006337
CTCF	wt	S2	enriched	0.2917731065348407	-7.658375108846326
Chriz	wt	S2	enriched	0.0745299213238759	-0.590012107855074
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	0.0	-0.1458921294955718
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.8054923482682652	-1.6974978343220115
H2BK5ac	wt	S2	enriched	0.3072323709287317	-1.5521140484857907
H2Bubi	wt	S2	enriched	1.2751345458245928	-16.609640474436812
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	0.1488701235787501	-1.1616209887829392
H3K23ac	wt	S2	enriched	0.0	-16.609640474436812
H3K27ac	wt	S2	enriched	0.3076262202185356	-8.74529490128487
H3K27me1	wt	S2	enriched	1.039210634744959	-16.609640474436812
H3K27me2	wt	S2	enriched	0.0	-16.609640474436812
H3K27me3	wt	S2	enriched	0.8259983735975753	-16.609640474436812
H3K36me1	wt	S2	enriched	0.8220885239059907	-16.609640474436812
H3K36me3	wt	S2	enriched	0.6114224737692955	-16.609640474436812
H3K4me1	wt	S2	enriched	0.30131992121960627	-1.212796924683511
H3K4me2	wt	S2	enriched	0.7854089861858423	-9.117765114638349
H3K4me3	wt	S2	enriched	0.27910723868599474	-8.812055449535979
H3K79me1	wt	S2	enriched	0.8971507827983679	-16.609640474436812
H3K79me2	wt	S2	enriched	0.8248918659428616	-16.609640474436812
H3K79me3	wt	S2	enriched	0.2053237766023252	-16.609640474436812
H3K9ac	wt	S2	enriched	0.1477337058529557	-1.2396537285290359
H3K9acS10P	wt	S2	enriched	0.30564931077807694	0.6173078876018537
H3K9me1	wt	S2	enriched	0.2552810256431374	-16.609640474436812
H3K9me2	wt	S2	enriched	0.4985009858955272	-7.767375799346295
H3K9me3	wt	S2	enriched	0.34280302138901864	1.144477898513389
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.14896191277938411	-1.1455734045680916
H4K16ac	wt	S2	enriched	0.30473012706087743	-1.6017403925924447
H4K20me1	wt	S2	enriched	0.2080428222757638	-16.609640474436812
H4K5ac	wt	S2	enriched	0.8235614442589552	-16.609640474436812
H4K8ac	wt	S2	enriched	0.30898042800124553	-1.4421831254681337
H4acTetra	wt	S2	enriched	0.14805710680834291	-1.224283590826659
HP1a	wt	S2	enriched	0.16215217950448718	-9.08169756117466
HP1b	wt	S2	enriched	0.2508032779952424	0.3375382113213129
HP1c	wt	S2	enriched	0.0	-16.609640474436812
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.10262356768741106	-8.615553328022747
JHDM1	wt	S2	enriched	0.0	-16.609640474436812
JIL-1	wt	S2	enriched	0.8193752544397721	-16.609640474436812
KDM4A	wt	S2	enriched	0.10380765765397237	-16.609640474436812
LSD1	wt	S2	enriched	0.4070512613506277	-16.609640474436812
MBD-R2	wt	S2	enriched	0.0	-6.0358963893817155
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.22039991365862094	-7.689715655744134
MOF	wt	S2	enriched	0.0	-0.39780920153203514
MRG15	wt	S2	enriched	0.395952668000847	-16.609640474436812
MSL-1	wt	S2	enriched	0.0	-16.609640474436812
NURF301	wt	S2	enriched	0.1350736151649501	-11.380214596888763
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.207650341033763	-16.609640474436812
Pc	wt	S2	enriched	0.10404244744121167	-8.337271430122383
Pho	wt	S2	enriched	0.0	-16.609640474436812
PolII	wt	S2	enriched	0.07600706690566485	-8.872292867801509
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.0	-16.609640474436812
Replication-Origin	wt	S2	enriched	0.39614141607576353	-16.609640474436812
Rhino	wt	S2	enriched	0.4227955269889371	1.15316327498497
SPT16	wt	S2	enriched	0.10392326865902499	-16.609640474436812
Smc3	wt	S2	enriched	0.0	-16.609640474436812
Su(Hw)	wt	S2	enriched	0.30242173652910653	-16.609640474436812
Su(var)3-7	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-9	wt	S2	enriched	0.0	-16.609640474436812
WDS	wt	S2	enriched	0.0	-0.5374031731396318
ZW5	wt	S2	enriched	0.0	-16.609640474436812
dMi-2	wt	S2	enriched	0.31261921875055404	-10.746294226880304
dRING	wt	S2	enriched	0.15364702554936138	-7.991946531311503
dSFMBT	wt	S2	enriched	0.0	-0.14240112091740767
dmTopo-II	wt	S2	enriched	0.22040350874217546	0.17377985752966746
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
