Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.0	-16.609640474436812
H2Av	wt	Adult	0.0	-16.609640474436812
H2Bubi	wt	Adult	0.3553543770859888	inf
H3	wt	Adult	0.0	-16.609640474436812
H3K18ac	wt	Adult	0.5629546201049226	inf
H3K23ac	wt	Adult	0.0	-16.609640474436812
H3K27ac	wt	Adult	0.6333051355777962	inf
H3K27me1	wt	Adult	0.0	-16.609640474436812
H3K27me2	wt	Adult	0.0	-16.609640474436812
H3K27me3	wt	Adult	0.10560594296751578	-16.609640474436812
H3K36me1	wt	Adult	0.0	-16.609640474436812
H3K36me2	wt	Adult	0.5884770438680387	inf
H3K36me3	wt	Adult	0.7138228299094266	inf
H3K4me1	wt	Adult	0.6153636550801357	inf
H3K4me2	wt	Adult	0.6921224783633398	inf
H3K4me3	wt	Adult	0.0	-16.609640474436812
H3K79me1	wt	Adult	0.0	-16.609640474436812
H3K79me2	wt	Adult	0.5399976019054378	inf
H3K79me3	wt	Adult	0.5439153857425806	inf
H3K9ac	wt	Adult	0.5548799859142061	inf
H3K9acS10P	wt	Adult	0.7584688532689352	inf
H3K9me1	wt	Adult	0.10321775750231221	-16.609640474436812
H3K9me2	wt	Adult	0.0	-16.609640474436812
H3K9me3	wt	Adult	0.0	-16.609640474436812
H4K16ac	wt	Adult	0.8361748141678028	inf
H4K20me1	wt	Adult	0.5524148089849025	inf
H4K8ac	wt	Adult	0.5433812415120073	inf
HP1a	wt	Adult	0.0	-16.609640474436812
HP1b	wt	Adult	0.8313880905977302	inf
HP1c	wt	Adult	0.889851337033912	inf
HP2	wt	Adult	0.0	-16.609640474436812
JHDM1	wt	Adult	0.4269679884724129	inf
KDM4A	wt	Adult	0.22851429242177426	inf
LSD1	wt	Adult	0.5373427469464763	inf
POF	wt	Adult	0.5680805969830274	inf
PolII	wt	Adult	0.7290791088697203	inf
RPD3	wt	Adult	0.5384954133918329	inf
Su(var)3-7	wt	Adult	0.7465840978240962	inf
dSFMBT	wt	Adult	0.815159578664951	inf
