Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.7350405823094603	1.46832785787065
ASH-1	wt	S2	enriched	0.9947652151018039	-6.8277211512545755
BEAF-32	wt	S2	enriched	0.0	-11.14786046443966
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.23298276338492455	-5.301244920025828
CTCF	wt	S2	enriched	0.34364451619514114	-4.703873894547631
Chriz	wt	S2	enriched	0.07390644394757027	-0.9777003743387545
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	2.2334527234852475	2.5691140437080486
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.6698901046312609	-10.254166631724871
H2BK5ac	wt	S2	enriched	0.5737002443718899	1.0257446473246983
H2Bubi	wt	S2	enriched	0.0	0.01150995121763817
H3	wt	S2	enriched	0.5342009013268205	1.6107047860793582
H3K18ac	wt	S2	enriched	2.911686684411903	2.572407072901139
H3K23ac	wt	S2	enriched	0.21136902320709258	-7.730838041353858
H3K27ac	wt	S2	enriched	0.9259934426793752	1.319681388998018
H3K27me1	wt	S2	enriched	0.14137859836751804	0.3917787160653172
H3K27me2	wt	S2	enriched	0.16268423124146134	-7.950611830878608
H3K27me3	wt	S2	enriched	1.2971732644478549	1.5748329664629699
H3K36me1	wt	S2	enriched	3.613732957894986	2.8581819634730397
H3K36me3	wt	S2	enriched	0.503897773439912	-16.609640474436812
H3K4me1	wt	S2	enriched	1.1553469710202076	1.4205745111280952
H3K4me2	wt	S2	enriched	0.9596374029931045	1.3226905981242134
H3K4me3	wt	S2	enriched	0.734016591011722	1.1514333676581878
H3K79me1	wt	S2	enriched	0.21712674070568186	0.21067057963393712
H3K79me2	wt	S2	enriched	0.45089705153737436	0.8292322395204446
H3K79me3	wt	S2	enriched	0.5409393917456785	1.006484745213317
H3K9ac	wt	S2	enriched	2.4233252182505955	2.2196137584771227
H3K9acS10P	wt	S2	enriched	0.0	-16.609640474436812
H3K9me1	wt	S2	enriched	0.32486733575535204	-3.8147543000262853
H3K9me2	wt	S2	enriched	0.6264843886915099	-16.609640474436812
H3K9me3	wt	S2	enriched	0.0	-16.609640474436812
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.1527173786035572	0.1492723744133871
H4K16ac	wt	S2	enriched	0.48096823650107057	0.2398629180408347
H4K20me1	wt	S2	enriched	0.0	-0.05437731563949688
H4K5ac	wt	S2	enriched	0.3582681656043419	0.7066498973254679
H4K8ac	wt	S2	enriched	2.4846958792896774	2.2974878504005125
H4acTetra	wt	S2	enriched	0.35846640117556866	0.7075336255023243
HP1a	wt	S2	enriched	0.30251011696738545	-6.224049438005865
HP1b	wt	S2	enriched	0.285614639345165	0.5125241947800107
HP1c	wt	S2	enriched	0.14246234945371888	-8.049334215509615
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.38512069438931334	0.544828880277582
JHDM1	wt	S2	enriched	0.45241532428412246	-7.386654150243786
JIL-1	wt	S2	enriched	0.1533388216235241	-1.1362730105659338
KDM4A	wt	S2	enriched	0.0	-16.609640474436812
LSD1	wt	S2	enriched	2.5178087464829866	2.33024749165492
MBD-R2	wt	S2	enriched	0.21561051246451857	0.40148511621261057
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.44827762568897556	1.2455114352856431
MOF	wt	S2	enriched	1.333950261519484	2.086787162312836
MRG15	wt	S2	enriched	0.0	-0.8148366713196338
MSL-1	wt	S2	enriched	0.0	-16.609640474436812
NURF301	wt	S2	enriched	0.325810213345694	0.3779648677914296
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.27522456946131363	0.46258635748927374
Pc	wt	S2	enriched	0.9144686385511356	1.5474403368409284
Pho	wt	S2	enriched	0.5224880560304275	1.5636511500408996
PolII	wt	S2	enriched	0.365080360907362	0.5811786509648169
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.29413628771608075	0.5568070541395626
Replication-Origin	wt	S2	enriched	2.002753451225533	2.251267659126399
Rhino	wt	S2	enriched	0.0	-16.609640474436812
SPT16	wt	S2	enriched	0.8821852830589729	-7.1728508310636405
Smc3	wt	S2	enriched	0.7364403113341462	1.6817530897474675
Su(Hw)	wt	S2	enriched	0.3055040603814931	-16.609640474436812
Su(var)3-7	wt	S2	enriched	0.48153870506816204	1.3961649704268788
Su(var)3-9	wt	S2	enriched	0.0	-16.609640474436812
WDS	wt	S2	enriched	0.0	-0.3826827076984473
ZW5	wt	S2	enriched	0.1655695211910327	-7.937054816165608
dMi-2	wt	S2	enriched	1.9426241574257836	2.200335402911011
dRING	wt	S2	enriched	0.9816454807746542	1.994683964463781
dSFMBT	wt	S2	enriched	1.1378686206869628	1.8044707729731893
dmTopo-II	wt	S2	enriched	1.221009924221532	1.9260032151171247
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
